Price,Close
Ticker,LTIM.NS
Date,
2016-07-21,607.866943359375
2016-07-22,609.958251953125
2016-07-25,603.90234375
2016-07-26,603.1181640625
2016-07-27,601.1575317382812
2016-07-28,592.4439086914062
2016-07-29,602.81298828125
2016-08-01,598.5433349609375
2016-08-02,595.7115478515625
2016-08-03,592.5308227539062
2016-08-04,593.4458618164062
2016-08-05,607.9104614257812
2016-08-08,610.74267578125
2016-08-09,608.47705078125
2016-08-10,601.4625854492188
2016-08-11,596.0601196289062
2016-08-12,597.0620727539062
2016-08-16,594.2301635742188
2016-08-17,591.615966796875
2016-08-18,588.1305541992188
2016-08-19,579.1118774414062
2016-08-22,571.6618041992188
2016-08-23,562.8607788085938
2016-08-24,557.5454711914062
2016-08-25,569.7882080078125
2016-08-26,564.472900390625
2016-08-29,558.46044921875
2016-08-30,567.9148559570312
2016-08-31,568.916748046875
2016-09-01,562.5558471679688
2016-09-02,561.1182250976562
2016-09-06,567.7405395507812
2016-09-07,570.9209594726562
2016-09-08,566.6513671875
2016-09-09,560.3338012695312
2016-09-12,557.4584350585938
2016-09-14,555.0185546875
2016-09-15,553.8856811523438
2016-09-16,553.3194580078125
2016-09-19,557.9376831054688
2016-09-20,556.8048095703125
2016-09-21,557.1098022460938
2016-09-22,556.3692016601562
2016-09-23,556.4127197265625
2016-09-26,556.1077880859375
2016-09-27,555.7156372070312
2016-09-28,556.2384033203125
2016-09-29,535.5870361328125
2016-09-30,538.4625854492188
2016-10-03,542.7757568359375
2016-10-04,538.7239990234375
2016-10-05,536.3711547851562
2016-10-06,535.6741333007812
2016-10-07,533.5828247070312
2016-10-10,532.6679077148438
2016-10-13,527.2218627929688
2016-10-14,530.7073364257812
2016-10-17,539.203125
2016-10-18,541.6865844726562
2016-10-19,542.2528686523438
2016-10-20,543.9085693359375
2016-10-21,543.3856811523438
2016-10-24,545.8690795898438
2016-10-25,565.7363891601562
2016-10-26,566.6077270507812
2016-10-27,563.8193359375
2016-10-28,564.3422241210938
2016-11-01,562.1202392578125
2016-11-02,555.9771118164062
2016-11-03,551.0101928710938
2016-11-04,545.43359375
2016-11-07,546.7841186523438
2016-11-08,550.0952758789062
2016-11-09,547.001953125
2016-11-10,550.0952758789062
2016-11-11,540.3795166015625
2016-11-15,526.001953125
2016-11-16,532.1015014648438
2016-11-17,536.6398315429688
2016-11-18,535.8468627929688
2016-11-21,529.1934204101562
2016-11-22,529.7662963867188
2016-11-23,533.3352661132812
2016-11-24,533.3352661132812
2016-11-25,546.4660034179688
2016-11-28,547.6115112304688
2016-11-29,556.8648071289062
2016-11-30,567.351806640625
2016-12-01,572.8154296875
2016-12-02,572.8154296875
2016-12-05,570.391845703125
2016-12-06,569.2904663085938
2016-12-07,564.6197509765625
2016-12-08,566.7789306640625
2016-12-09,577.0895385742188
2016-12-12,575.8118286132812
2016-12-13,573.9169921875
2016-12-14,585.6376953125
2016-12-15,594.9349365234375
2016-12-16,598.5481567382812
2016-12-19,599.2970581054688
2016-12-20,599.5173950195312
2016-12-21,599.7817993164062
2016-12-22,599.3411865234375
2016-12-23,597.1380004882812
2016-12-26,590.4405517578125
2016-12-27,593.2606201171875
2016-12-28,599.4734497070312
2016-12-29,599.2529296875
2016-12-30,599.2970581054688
2017-01-02,599.5173950195312
2017-01-03,599.3411865234375
2017-01-04,615.1156616210938
2017-01-05,609.4756469726562
2017-01-06,599.2970581054688
2017-01-09,599.9140625
2017-01-10,599.2970581054688
2017-01-11,599.2529296875
2017-01-12,599.3411865234375
2017-01-13,599.2529296875
2017-01-16,599.3411865234375
2017-01-17,599.6497802734375
2017-01-18,608.6384887695312
2017-01-19,603.8355712890625
2017-01-20,597.5787353515625
2017-01-23,586.2105712890625
2017-01-24,599.2970581054688
2017-01-25,605.1575317382812
2017-01-27,605.7303466796875
2017-01-30,597.1821899414062
2017-01-31,589.3389282226562
2017-02-01,586.7833862304688
2017-02-02,603.3068237304688
2017-02-03,606.7877197265625
2017-02-06,608.021728515625
2017-02-07,605.9505004882812
2017-02-08,608.0656127929688
2017-02-09,608.1098022460938
2017-02-10,612.427978515625
2017-02-13,608.5062866210938
2017-02-14,608.2859497070312
2017-02-15,608.0656127929688
2017-02-16,609.0349731445312
2017-02-17,608.8588256835938
2017-02-20,617.67138671875
2017-02-21,627.1888427734375
2017-02-22,628.5548706054688
2017-02-23,627.4533081054688
2017-02-27,626.6159057617188
2017-02-28,626.9244995117188
2017-03-01,626.1753540039062
2017-03-02,617.3187866210938
2017-03-03,616.9222412109375
2017-03-06,617.8035888671875
2017-03-07,618.244140625
2017-03-08,618.332275390625
2017-03-09,618.332275390625
2017-03-10,618.7728271484375
2017-03-14,622.5181884765625
2017-03-15,625.8670654296875
2017-03-16,627.93798828125
2017-03-17,626.7481079101562
2017-03-20,619.3457641601562
2017-03-21,622.0775756835938
2017-03-22,610.7974853515625
2017-03-23,602.954345703125
2017-03-24,608.947021484375
2017-03-27,606.3472290039062
2017-03-28,608.7706298828125
2017-03-29,631.3748168945312
2017-03-30,631.8153686523438
2017-03-31,629.9649658203125
2017-04-03,636.486083984375
2017-04-05,632.8289184570312
2017-04-06,631.6392211914062
2017-04-07,626.4397583007812
2017-04-10,636.7946166992188
2017-04-11,633.0050659179688
2017-04-12,628.7750854492188
2017-04-13,632.3883056640625
2017-04-17,624.9856567382812
2017-04-18,623.5316772460938
2017-04-19,625.514404296875
2017-04-20,633.4898071289062
2017-04-21,639.2620849609375
2017-04-24,638.9094848632812
2017-04-25,637.4996337890625
2017-04-26,631.7273559570312
2017-04-27,628.4667358398438
2017-04-28,625.250244140625
2017-05-02,626.6159057617188
2017-05-03,625.6467895507812
2017-05-04,624.7213745117188
2017-05-05,646.1358032226562
2017-05-08,653.141845703125
2017-05-09,659.5308837890625
2017-05-10,662.1746826171875
2017-05-11,658.8699340820312
2017-05-12,666.0963134765625
2017-05-15,672.5293579101562
2017-05-16,681.3860473632812
2017-05-17,685.5718383789062
2017-05-18,684.4262084960938
2017-05-19,682.3114013671875
2017-05-22,688.39208984375
2017-05-23,681.1216430664062
2017-05-24,683.0603637695312
2017-05-25,694.7810668945312
2017-05-26,701.7870483398438
2017-05-29,683.148681640625
2017-05-30,676.7152709960938
2017-05-31,705.532470703125
2017-06-01,698.041748046875
2017-06-02,690.8155517578125
2017-06-05,689.89013671875
2017-06-06,693.1065673828125
2017-06-07,706.8982543945312
2017-06-08,699.0552978515625
2017-06-09,705.31201171875
2017-06-12,695.3539428710938
2017-06-13,701.8753051757812
2017-06-14,697.5570678710938
2017-06-15,709.7183837890625
2017-06-16,708.4845581054688
2017-06-19,728.3128051757812
2017-06-20,725.1402587890625
2017-06-21,729.8109130859375
2017-06-22,720.8222045898438
2017-06-23,711.040283203125
2017-06-27,690.7713623046875
2017-06-28,696.1029052734375
2017-06-29,692.8423461914062
2017-06-30,695.0895385742188
2017-07-03,696.0590209960938
2017-07-04,691.9609985351562
2017-07-05,703.46142578125
2017-07-06,695.0895385742188
2017-07-07,701.346435546875
2017-07-10,694.0320434570312
2017-07-11,692.09326171875
2017-07-12,693.6795654296875
2017-07-13,692.7542724609375
2017-07-14,687.4666137695312
2017-07-17,681.6502685546875
2017-07-18,692.7100830078125
2017-07-19,696.2351684570312
2017-07-20,691.1239013671875
2017-07-21,677.0679321289062
2017-07-24,673.7190551757812
2017-07-25,678.6983032226562
2017-07-26,678.91845703125
2017-07-27,676.2305908203125
2017-07-28,671.6923217773438
2017-07-31,673.5429077148438
2017-08-01,682.9282836914062
2017-08-02,680.4607543945312
2017-08-03,686.0126953125
2017-08-04,682.9722900390625
2017-08-07,686.8938598632812
2017-08-08,684.7789306640625
2017-08-09,672.7498168945312
2017-08-10,657.7241821289062
2017-08-11,649.9251708984375
2017-08-14,659.0785522460938
2017-08-16,662.3826293945312
2017-08-17,692.74462890625
2017-08-18,690.6013793945312
2017-08-21,671.2680053710938
2017-08-22,663.8114013671875
2017-08-23,661.668212890625
2017-08-24,657.3372192382812
2017-08-28,670.2855834960938
2017-08-29,667.6067504882812
2017-08-30,667.159912109375
2017-08-31,673.455810546875
2017-09-01,677.5189819335938
2017-09-04,679.0817260742188
2017-09-05,680.6444702148438
2017-09-06,689.7529907226562
2017-09-07,690.0655517578125
2017-09-08,693.0569458007812
2017-09-11,686.9847412109375
2017-09-12,682.6536254882812
2017-09-13,684.4843139648438
2017-09-14,684.8414916992188
2017-09-15,675.7327880859375
2017-09-18,675.0184326171875
2017-09-19,686.8507690429688
2017-09-20,687.7438354492188
2017-09-21,697.968505859375
2017-09-22,695.7361450195312
2017-09-25,693.6375732421875
2017-09-26,695.5575561523438
2017-09-27,691.1817626953125
2017-09-28,689.9762573242188
2017-09-29,713.4620971679688
2017-10-03,725.4283447265625
2017-10-04,726.0087890625
2017-10-05,720.3382568359375
2017-10-06,713.9979248046875
2017-10-09,713.6854858398438
2017-10-10,718.06103515625
2017-10-11,718.4183349609375
2017-10-12,723.68701171875
2017-10-13,726.6339721679688
2017-10-16,722.3475341796875
2017-10-17,720.4722290039062
2017-10-18,720.9632568359375
2017-10-19,724.044189453125
2017-10-23,717.4360961914062
2017-10-24,719.4899291992188
2017-10-25,721.5437622070312
2017-10-26,733.4653930664062
2017-10-27,722.1242065429688
2017-10-30,731.85791015625
2017-10-31,741.4130859375
2017-11-01,732.6615600585938
2017-11-02,723.821044921875
2017-11-03,729.2235717773438
2017-11-06,728.1073608398438
